Indexcd,Trddt,Daywk,Opnindex,Hiindex,Loindex,Clsindex,Retindex
1,2009/1/5,1,1849.02,1880.716,1844.094,1880.716,0.032904
1,2009/1/6,2,1878.827,1938.69,1871.971,1937.145,0.030004
1,2009/1/7,3,1938.974,1948.233,1920.515,1924.012,-0.00678
1,2009/1/8,4,1890.242,1894.171,1862.263,1878.181,-0.023821
1,2009/1/9,5,1875.164,1909.349,1875.164,1904.861,0.014205
1,2009/1/12,1,1897.703,1924.441,1886.833,1900.347,-0.00237
1,2009/1/13,2,1880.868,1888.309,1861.811,1863.367,-0.01946
1,2009/1/14,3,1862.31,1929.276,1862.309,1928.869,0.035152
1,2009/1/15,4,1912.772,1937.728,1902.542,1920.206,-0.004491
1,2009/1/16,5,1928.922,1984.728,1928.922,1954.438,0.017827
1,2009/1/19,1,1971,2018.51,1966.188,1986.672,0.016493
1,2009/1/20,2,1981.147,1994.809,1956.102,1994.107,0.003742
1,2009/1/21,3,1965.944,2007.911,1960.529,1985.016,-0.004559
1,2009/1/22,4,1996.086,2009.851,1980.438,2004.951,0.010043
1,2009/1/23,5,2001.172,2008.788,1986.348,1990.657,-0.007129
1,2009/2/2,1,2008.134,2012.742,1987.129,2011.683,0.010562
1,2009/2/3,2,2011.77,2060.925,2005.022,2060.808,0.02442
1,2009/2/4,3,2068.086,2108.257,2067.786,2107.749,0.022778
1,2009/2/5,4,2106.835,2149.476,2082.596,2098.018,-0.004617
1,2009/2/6,5,2102.078,2185.086,2102.078,2181.239,0.039666
1,2009/2/9,1,2211.317,2238.894,2196.708,2224.714,0.019931
1,2009/2/10,2,2218.489,2266.398,2197.007,2265.161,0.018181
1,2009/2/11,3,2230.49,2305.705,2218.297,2260.82,-0.001916
1,2009/2/12,4,2265.789,2274.201,2191.887,2248.091,-0.00563
1,2009/2/13,5,2249.185,2323.12,2236.178,2320.792,0.032339
1,2009/2/16,1,2338.758,2389.878,2328.179,2389.387,0.029557
1,2009/2/17,2,2387.354,2402.807,2316.934,2319.441,-0.029274
1,2009/2/18,3,2271.26,2295.741,2206.062,2209.862,-0.047244
1,2009/2/19,4,2224.49,2247.616,2190.473,2227.125,0.007812
1,2009/2/20,5,2234.365,2262.332,2206.211,2261.478,0.015425
1,2009/2/23,1,2249.289,2313.594,2219.714,2305.777,0.019589
1,2009/2/24,2,2273.755,2295.59,2193.268,2200.654,-0.045591
1,2009/2/25,3,2222.506,2234.018,2142.601,2206.574,0.00269
1,2009/2/26,4,2201.672,2237.547,2102.346,2121.251,-0.038668
1,2009/2/27,5,2100.063,2123.244,2064.918,2082.852,-0.018102
1,2009/3/2,1,2066.229,2102.112,2052.992,2093.447,0.005087
1,2009/3/3,2,2047.213,2088.628,2037.024,2071.431,-0.010517
1,2009/3/4,3,2076.616,2201.727,2076.616,2198.107,0.061154
1,2009/3/5,4,2220.15,2241.761,2173.491,2221.076,0.010449
1,2009/3/6,5,2180.788,2221.04,2171.668,2193.007,-0.012638
1,2009/3/9,1,2205.746,2232.674,2116.453,2118.748,-0.033862
1,2009/3/10,2,2097.139,2159.268,2088.162,2158.568,0.018794
1,2009/3/11,3,2199.983,2203.534,2133.141,2139.025,-0.009054
1,2009/3/12,4,2127.726,2136.795,2086.018,2133.881,-0.002405
1,2009/3/13,5,2148.418,2166.022,2124.979,2128.848,-0.002359
1,2009/3/16,1,2122.408,2158.9,2108.612,2153.291,0.011482
1,2009/3/17,2,2156.774,2225.192,2151.776,2218.326,0.030203
1,2009/3/18,3,2227.981,2255.009,2221.588,2223.725,0.002434
1,2009/3/19,4,2227.344,2268.144,2220.164,2265.759,0.018903
1,2009/3/20,5,2272.437,2294.117,2250.405,2281.087,0.006765
1,2009/3/23,1,2286.246,2329.183,2276.81,2325.48,0.019461
1,2009/3/24,2,2359.679,2369.454,2327.43,2338.42,0.005564
1,2009/3/25,3,2333.163,2355.69,2291.359,2291.555,-0.020041
1,2009/3/26,4,2296.047,2362.048,2274.895,2361.704,0.030612
1,2009/3/27,5,2380.626,2392.769,2361.091,2374.438,0.005392
1,2009/3/30,1,2377.964,2380.194,2348.527,2358.04,-0.006906
1,2009/3/31,2,2313.883,2375.712,2299.158,2373.213,0.006435
1,2009/4/1,3,2380.979,2422.625,2380.979,2408.017,0.014665
1,2009/4/2,4,2417.217,2450.003,2417.111,2425.291,0.007174
1,2009/4/3,5,2446.124,2456.811,2406.496,2419.778,-0.002273
1,2009/4/7,2,2422.1,2449.537,2407.506,2439.182,0.008019
1,2009/4/8,3,2429.879,2435.388,2346.537,2347.385,-0.037634
1,2009/4/9,4,2345.009,2380.935,2331.877,2379.876,0.013841
1,2009/4/10,5,2400.014,2444.981,2392.8,2444.226,0.027039
1,2009/4/13,1,2468.083,2522.445,2464.061,2513.701,0.028424
1,2009/4/14,2,2512.009,2532.089,2495.337,2527.181,0.005363
1,2009/4/15,3,2514.591,2542.54,2485.926,2536.056,0.003512
1,2009/4/16,4,2542.336,2549.312,2497.122,2534.134,-0.000758
1,2009/4/17,5,2524.626,2539.352,2481.899,2503.935,-0.011917
1,2009/4/20,1,2500.173,2559.036,2497.321,2557.456,0.021375
1,2009/4/21,2,2523.262,2552.598,2499.601,2535.828,-0.008457
1,2009/4/22,3,2548.105,2579.218,2449.895,2461.346,-0.029372
1,2009/4/23,4,2440.676,2474.146,2422.789,2463.954,0.00106
1,2009/4/24,5,2477.156,2481.527,2445.664,2448.595,-0.006233
1,2009/4/27,1,2443.436,2452.928,2393.162,2405.348,-0.017662
1,2009/4/28,2,2382.884,2411.438,2372.343,2401.438,-0.001626
1,2009/4/29,3,2401.658,2477.725,2395.483,2468.192,0.027798
1,2009/4/30,4,2477.928,2491.072,2461.365,2477.569,0.003799
1,2009/5/4,1,2486.685,2560.544,2486.225,2559.911,0.033235
1,2009/5/5,2,2577.429,2590.776,2552.39,2567.337,0.002901
1,2009/5/6,3,2563.564,2596.925,2552.632,2592.52,0.009809
1,2009/5/7,4,2612.123,2622.112,2566.121,2597.447,0.0019
1,2009/5/8,5,2586.759,2634.061,2574.572,2625.645,0.010856
1,2009/5/11,1,2646.287,2663.95,2579.747,2579.747,-0.017481
1,2009/5/12,2,2562.363,2619.692,2558.963,2618.172,0.014895
1,2009/5/13,3,2629.031,2670.213,2608.317,2663.766,0.017414
1,2009/5/14,4,2631.445,2651.488,2610.223,2639.887,-0.008964
1,2009/5/15,5,2646.891,2661.366,2623.364,2645.263,0.002036
1,2009/5/18,1,2632.569,2656.844,2589.613,2652.779,0.002841
1,2009/5/19,2,2679.396,2688.112,2660.56,2676.682,0.009011
1,2009/5/20,3,2680.547,2686.345,2651.011,2651.414,-0.00944
1,2009/5/21,4,2639.141,2663.227,2598.869,2610.622,-0.015385
1,2009/5/22,5,2595.988,2617.749,2578.593,2597.601,-0.004988
1,2009/5/25,1,2555.342,2618.359,2538.622,2610.01,0.004777
1,2009/5/26,2,2615.006,2618.8,2585.91,2588.575,-0.008213
1,2009/5/27,3,2601.24,2635.313,2592.794,2624.893,0.01403
1,2009/6/1,1,2668.4,2726.716,2668.4,2721.28,0.03672
1,2009/6/2,2,2739.442,2750.88,2713.466,2724.302,0.001111
1,2009/6/3,3,2722.266,2778.683,2717.863,2778.589,0.019927
1,2009/6/4,4,2753.248,2778.242,2728.199,2767.244,-0.004083
1,2009/6/5,5,2783.859,2791.649,2750.377,2753.891,-0.004825
1,2009/6/8,1,2753.345,2795.149,2729.028,2768.336,0.005245
1,2009/6/9,2,2766.51,2788.366,2721.854,2787.887,0.007062
1,2009/6/10,3,2796.903,2820.575,2789.996,2816.247,0.010173
1,2009/6/11,4,2812.279,2828.739,2787.449,2797.32,-0.006721
1,2009/6/12,5,2793.968,2812.679,2722.217,2743.762,-0.019146
