"Open","High","Low","Close","Volume","Date"
"9.43","9.43","9.43","9.43","0","2014-01-01"
"9.44","9.45","9.29","9.33","76803100","2014-01-02"
"9.28","9.3","9.08001","9.14","97187100","2014-01-03"
"9.31","9.34","9.13","9.19001","128994400","2014-01-06"
"9.17","9.21","9.01","9.14","79366000","2014-01-07"
"9.14","9.32","9.11","9.2","86463800","2014-01-08"
"9.2","9.44","9.16","9.29","120974400","2014-01-09"
"9.28","9.45","9.24","9.41001","102717900","2014-01-10"
"9.44","9.47","9.33","9.39","72528900","2014-01-13"
"9.4","9.43","9.25","9.4","87681200","2014-01-14"
"9.39","9.4","9.16","9.23","85367300","2014-01-15"
"9.22","9.26","9.17","9.18","73925200","2014-01-16"
"9.17","9.17","9.07","9.12","72652200","2014-01-17"
"9.1","9.13","9.04","9.07","46304200","2014-01-20"
"9.1","9.26","9.09","9.16","52355600","2014-01-21"
"9.18","9.38","9.17","9.34","100526000","2014-01-22"
"9.31","9.34","9.21","9.22","69360900","2014-01-23"
"9.17","9.32","9.14","9.23","77832900","2014-01-24"
"9.19001","9.2","9.1","9.12","76844500","2014-01-27"
"9.12","9.29","9.12","9.19001","63066900","2014-01-28"
"9.24","9.31","9.2","9.29","78147100","2014-01-29"
"9.27","9.3","9.15","9.17","57759800","2014-01-30"
"9.17","9.17","9.17","9.17","0","2014-01-31"
"9.17","9.17","9.17","9.17","0","2014-02-03"
"9.17","9.17","9.17","9.17","0","2014-02-05"
"9.17","9.17","9.17","9.17","0","2014-02-06"
"9.13","9.18","9.07","9.18","56250600","2014-02-07"
"9.18","9.3","9.16","9.29","100730400","2014-02-10"
"9.31","9.68","9.22","9.54","233631600","2014-02-11"
"9.5","9.64","9.44","9.5","117094200","2014-02-12"
"9.48","9.84","9.41001","9.6","217541600","2014-02-13"
"9.6","9.63001","9.50999","9.59","88553500","2014-02-14"
"9.62","9.66","9.48","9.52","118707900","2014-02-17"
"9.50999","9.50999","9.23","9.26","145169400","2014-02-18"
"9.25","9.57","9.2","9.49","165802600","2014-02-19"
"9.53","9.73","9.36","9.39","159068100","2014-02-20"
"9.39","9.43","9.22","9.29","90111000","2014-02-21"
"9.2","9.21","8.97","9.01","148796100","2014-02-24"
"9.01","9.08001","8.81","8.83","124287000","2014-02-25"
"8.81","8.89","8.77","8.85","87792100","2014-02-26"
"8.85","9.03","8.81","8.94","123811600","2014-02-27"
"8.9","9.01","8.8","8.91","82970600","2014-02-28"
"8.91","8.92","8.81","8.85","89528900","2014-03-03"
"8.84","8.91","8.68","8.87","124821200","2014-03-04"
"8.86001","8.88","8.68","8.7","73453800","2014-03-05"
"8.7","8.86001","8.62","8.8","115743800","2014-03-06"
"8.8","8.91","8.71","8.73","94596300","2014-03-07"
"8.67","8.71","8.42001","8.44","110369500","2014-03-10"
"8.43","8.53001","8.39","8.46","78231400","2014-03-11"
"8.47","8.67","8.39","8.56","121515400","2014-03-12"
"8.76","9.13","8.68","8.84","217927400","2014-03-13"
"8.78","9.03","8.72","8.99","197746100","2014-03-14"
"8.99","8.99","8.99","8.99","0","2014-03-17"
"9.22","9.23","8.87","8.89","184761800","2014-03-18"
"8.85","9.07","8.76","9.05","103222000","2014-03-19"
"8.95999","9.2","8.95","8.99","182664600","2014-03-20"
"8.98","9.89","8.97","9.89","635503100","2014-03-21"
"9.89","10.01","9.74001","9.8","606031900","2014-03-24"
"9.76","9.86","9.68","9.75","247856900","2014-03-25"
