"gsyh","jsyh","msyh","pfyh","zgyh","date"
4.24,4.66,5.07,12.61,3.26,"2011-01-04"
4.19,4.65,5.04,12.71,3.23,"2011-01-05"
4.16,4.58,5.03,12.66999,3.22,"2011-01-06"
4.3,4.73,NA,13.22997,3.27,"2011-01-07"
4.24,4.77,5.08,13.07007,3.23,"2011-01-10"
4.26,4.84,5.12,13.40001,3.25,"2011-01-11"
4.29,4.85,5.15,13.48997,3.27,"2011-01-12"
4.34,4.92,5.14,13.33995,3.28,"2011-01-13"
4.35,4.91,5.1,13.14001,3.25,"2011-01-14"
4.23,4.71,5.01,12.61,3.2,"2011-01-17"
4.26,4.74,4.99,12.69,3.21,"2011-01-18"
4.23,4.77,5.01,12.82,3.21,"2011-01-19"
4.15,4.66,4.94,12.48,3.17,"2011-01-20"
4.22,4.72,5,12.75,3.21,"2011-01-21"
4.19,4.67,4.97,12.74,3.2,"2011-01-24"
4.19,4.65,4.97,12.87,3.23,"2011-01-25"
4.2,4.66,4.99,12.88,3.24,"2011-01-26"
4.24,4.71,5.01,12.83,3.25,"2011-01-27"
4.21,4.66,4.99,12.69,NA,"2011-01-28"
4.25,4.8,5.03,12.72001,3.24,"2011-01-31"
4.26,4.82,5.07,12.75999,3.24,"2011-02-01"
4.24,4.81,5.03,12.62999,3.22,"2011-02-09"
4.27,4.86,5.12,12.77,3.24,"2011-02-10"
4.29,4.88,5.11,12.75,3.24,"2011-02-11"
4.37,4.95,5.22,13.14001,3.29,"2011-02-14"
4.34,4.94,5.18,13.03003,3.28,"2011-02-15"
4.34,4.9,5.14,12.96,3.29,"2011-02-16"
4.33,4.9,5.15,13.07995,3.29,"2011-02-17"
4.33,4.9,5.15,13.04004,3.28,"2011-02-18"
4.3,4.9,5.18,13.01001,3.27,"2011-02-21"
4.23,4.85,5.1,12.65,3.24,"2011-02-22"
4.23,4.85,5.1,12.61,3.23,"2011-02-23"
4.24,4.85,5.09,12.6,3.23,"2011-02-24"
4.27,4.88,NA,12.65,3.24,"2011-02-25"
4.26,4.82,5.11,12.71,3.24,"2011-02-28"
4.27,4.85,5.15,12.95,3.25,"2011-03-01"
4.28,4.87,5.2,13.18005,3.27,"2011-03-02"
4.3,4.94,5.29,13.45006,3.3,"2011-03-03"
4.35,4.96,5.35,13.56004,3.31,"2011-03-04"
