"Open","High","Low","Close","Volume","Adjusted","date"
4.94,4.94,4.94,4.94,0,4.18303,"2013-01-01"
4.94,4.94,4.94,4.94,0,4.18303,"2013-01-02"
4.94,4.94,4.94,4.94,0,4.18303,"2013-01-03"
5.02,5.12,4.99,5.06,186052100,4.28464,"2013-01-04"
5.06,5.16,5.05,5.06,98027600,4.28464,"2013-01-07"
5.09,5.1,4.96,4.98,72659300,4.2169,"2013-01-08"
4.98,4.99,4.89,4.91,85105400,4.15763,"2013-01-09"
4.91,4.94,4.87,4.9,75036200,4.14916,"2013-01-10"
4.92,4.94,4.82,4.85,61746300,4.10682,"2013-01-11"
4.84,5.08,4.83,5.04,103044000,4.26771,"2013-01-14"
5.03,5.11,5,5.04,101775700,4.26771,"2013-01-15"
5.03,5.06,4.83,4.96,68096200,4.19997,"2013-01-16"
4.94,4.95,4.85,4.89,86679300,4.14069,"2013-01-17"
4.93,5,4.91,4.97,59569100,4.20844,"2013-01-18"
4.98,5,4.92,4.99,88553600,4.22537,"2013-01-21"
4.96,5.19,4.93,5.05,187446700,4.27618,"2013-01-22"
5.03,5.1,5.02,5.09,87563000,4.31005,"2013-01-23"
5.1,5.25,5.05,5.1,198137000,4.31852,"2013-01-24"
5.1,5.13,5.03,5.09,58680200,4.31005,"2013-01-25"
5.1,5.25,5.09,5.24,135334400,4.43706,"2013-01-28"
5.26,5.27,5.17,5.24,165741400,4.43706,"2013-01-29"
5.23,5.31,5.18,5.29,139976600,4.4794,"2013-01-30"
5.3,5.44,5.29,5.4,170253700,4.57255,"2013-01-31"
5.4,5.57,5.35,5.56,153639800,4.70803,"2013-02-01"
5.57,5.68,5.53,5.54,138732400,4.69109,"2013-02-04"
5.5,5.55,5.35,5.38,186512900,4.55561,"2013-02-05"
5.41,5.44,5.34,5.43,96317800,4.59795,"2013-02-06"
5.42,5.43,5.2,5.28,139164300,4.47093,"2013-02-07"
5.28,5.32,5.22,5.28,81492400,4.47093,"2013-02-08"
5.28,5.28,5.28,5.28,0,4.47093,"2013-02-11"
5.28,5.28,5.28,5.28,0,4.47093,"2013-02-12"
